title,timestamp,price,original_price,shipping,item_url
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.273999,US $172.38,US $311.25,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.329878,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.385130,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.434953,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.486960,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.539643,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.589995,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.654820,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.725319,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.803904,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.852086,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.929549,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.000672,US $172.38,US $29.95,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.061697,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.131157,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.185514,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.240513,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:56.305276,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
